"","year_month_day","cluster.id","lon.wgs84","lat.wgs84"
"216","2018-04-10",132,36.962643,-1.432016
"217","2018-04-10",133,36.982201,-1.13118
"218","2018-04-11",110,36.989906,-1.23234733333333
"219","2018-04-11",111,36.873744,-1.232427
"220","2018-04-11",112,36.85761,-1.254323
"221","2018-04-12",58,36.870927,-1.329798
"222","2018-04-12",60,36.566685,-0.878152
"223","2018-04-12",67,37.082969,-1.05181
"224","2018-04-12",94,36.7705415,-1.3817185
"225","2018-04-13",39,36.737964,-1.269996
"226","2018-04-13",40,36.815172,-1.386387
"227","2018-04-13",42,36.843525,-1.2595765
"228","2018-04-13",43,36.904522,-1.349447
"229","2018-04-13",45,36.833582,-1.201716
"230","2018-04-13",52,36.8722464166667,-1.23650533333333
"231","2018-04-13",53,36.974441,-1.133084
"232","2018-04-13",54,36.799897,-1.328878
"233","2018-04-14",23,36.844416,-1.3235415
"234","2018-04-14",26,36.8456975,-1.326672
"235","2018-04-14",30,37.073014,-1.015158
"236","2018-04-14",33,36.843502,-1.234478
"237","2018-04-14",42,36.84035,-1.262246
"238","2018-04-15",11,36.8434675,-1.3228595
"239","2018-04-15",12,37.050495,-1.068176
"240","2018-04-15",16,36.7817435,-1.3000195
"241","2018-04-15",18,36.81367825,-1.27700575
"242","2018-04-15",20,37.10071,-1.283606
"243","2018-04-15",22,36.911848,-1.364254
"244","2018-04-15",23,36.8380405,-1.319572
"245","2018-04-16",3,36.908357,-1.360396
"246","2018-04-16",4,36.785986,-1.259615
"247","2018-04-16",6,36.894241,-1.327398
"248","2018-04-16",7,36.770244,-1.289995
"249","2018-04-16",297,36.834746,-1.266315
"250","2018-04-16",298,36.8449638333333,-1.26042733333333
"251","2018-04-17",259,36.7102425,-1.3118
"252","2018-04-17",276,36.8426555,-1.2921455
"253","2018-04-17",277,36.79988275,-1.27447075
"254","2018-04-17",278,36.766425,-1.365584
"255","2018-04-17",281,36.812197,-1.294602
"256","2018-04-17",282,36.835772,-1.273092
"257","2018-04-17",287,36.9726725,-1.171223
"258","2018-04-18",171,37.011741,-1.462464
"259","2018-04-18",178,36.921451,-1.263112
"260","2018-04-18",181,36.83656525,-1.310438
"261","2018-04-18",211,36.813008,-1.385438
"262","2018-04-18",221,36.8431095,-1.292208
"263","2018-04-18",230,36.792245,-1.2431275
"264","2018-04-18",245,36.835772,-1.273092
"265","2018-04-18",247,37.017074,-1.105573
"266","2018-04-18",277,36.8000565,-1.2744265
"267","2018-04-19",118,36.842772,-1.325939
"268","2018-04-19",121,-1.962356,-1.463899
"269","2018-04-19",123,36.939007,-1.180099
"270","2018-04-19",124,37.023103,-1.099975
"271","2018-04-20",104,36.82295,-1.276014
"272","2018-04-20",106,36.985502,-1.25671
"273","2018-04-20",107,36.8233395,-1.303235
"274","2018-04-20",113,37.821377,-2.282299
"275","2018-04-20",114,36.847672,-1.32135
"276","2018-04-20",116,36.954389,-1.420394
"277","2018-04-21",93,36.803439,-1.261471
"278","2018-04-21",95,36.889757,-1.307359
"279","2018-04-21",97,36.770394,-1.260271
"280","2018-04-21",99,36.868777,-1.24258
